cow_id,age,breed,feed_quantity,temperature,humidity,lactation_stage,milk_yield
b5332e66,2,Holstein,20.88,23.72,83.99,151,25.8
26b06e6e,6,Holstein,25.2,11.72,73.64,348,25.66
a1133681,2,Jersey,15.08,19.87,68.05,88,18.19
dd31c0c8,9,Holstein,24.49,22.41,99.03,191,22.37
21a8fae3,2,Holstein,27.98,13.78,67.17,362,24.4
7113e7b2,5,Holstein,20.12,17.91,47.24,362,27.23
2bc2fb50,8,Holstein,27.59,27.2,81.7,66,27.57
0b68f8b5,5,Jersey,13.65,31.97,61.25,314,11.12
3f8d2337,2,Holstein,29.18,18.94,78.33,211,29.74
8d9b3f8b,10,Holstein,29.04,15.42,54.63,230,24.94
2bc2fb50,8,Holstein,22.34,15.84,42.29,273,29.59
faadf12c,3,Jersey,23.58,14.62,64.55,186,26.23
83e1fd56,9,Guernsey,15.02,45.0,54.92,159,9.02
844ef924,10,Holstein,24.27,31.16,50.26,117,26.04
abcb5fa6,6,Holstein,21.47,10.95,55.45,113,34.1
1658bf44,9,Holstein,20.93,27.73,73.23,118,27.06
087e9060,9,Holstein,27.44,6.72,59.76,399,20.74
ab90be88,2,Holstein,24.42,23.04,39.35,138,27.06
8a91468a,10,Guernsey,16.89,15.89,67.93,69,18.0
2cc738db,4,Guernsey,17.92,26.94,58.46,356,16.41
4e4ba70c,5,Jersey,19.06,17.26,45.01,84,26.69
3827a093,8,Holstein,26.74,28.86,49.61,394,17.95
0487ea2c,5,Guernsey,16.42,15.2,70.71,329,17.25
bf1c4f0f,9,Holstein,16.73,30.53,90.5,21,18.77
8e2f2cef,7,Jersey,18.74,18.49,56.45,160,22.58
91c3d79d,6,Guernsey,13.31,17.42,73.9,154,18.55
a3503119,3,Jersey,14.67,24.08,59.93,69,21.66
d3cc3511,8,Guernsey,13.15,7.3,43.9,341,15.11
a3e86acf,5,Jersey,21.05,11.77,57.54,86,31.33
ac1cb6fd,9,Holstein,24.53,15.08,39.05,43,29.38
29a2f6b9,9,Holstein,20.2,6.62,68.27,98,28.51
82434d8e,2,Holstein,16.91,8.76,69.75,330,20.14
ee75bcfd,2,Holstein,23.45,11.57,75.05,294,27.4
1616683d,5,Jersey,15.87,19.86,81.86,32,23.21
01b7a2ad,9,Holstein,24.97,27.95,72.13,143,24.69
c058ad9d,10,Jersey,18.95,15.03,49.67,381,13.7
14d2fca5,3,Holstein,26.65,38.29,90.28,248,14.77
83dfd8bf,8,Holstein,27.12,32.65,53.05,167,22.68
a868d649,6,Holstein,24.34,18.73,46.84,267,27.63
88203bf6,3,Holstein,27.15,32.71,49.39,85,22.65
2ff33a11,2,Holstein,30.06,20.68,72.79,42,30.92
d8ecbea7,7,Guernsey,25.63,28.34,53.58,259,17.11
3016be72,9,Holstein,27.01,22.98,71.41,107,28.56
194b7a00,7,Holstein,23.97,20.24,81.18,16,30.88
62af9490,3,Holstein,25.17,10.77,77.61,102,33.16
ec27cb10,2,Guernsey,18.58,37.93,63.36,154,9.14
db9845a0,9,Jersey,14.98,7.41,44.86,134,20.73
aeaedbff,2,Jersey,20.21,22.77,70.98,213,18.52
2d243b63,4,Holstein,22.2,10.01,52.43,277,31.02
1bababba,6,Holstein,20.57,13.37,29.55,314,29.43
f513708e,3,Guernsey,16.57,29.98,53.53,139,18.02
59b3d6a4,4,Holstein,21.23,23.72,48.15,66,33.67
b1737eb6,4,Holstein,23.33,25.87,52.88,343,21.41
1950da59,3,Holstein,28.37,0.64,61.89,191,31.9
198357aa,4,Jersey,20.58,23.51,67.34,355,18.21
601082c0,6,Holstein,20.06,10.34,62.25,376,22.91
66cc8ec9,3,Holstein,23.71,-1.73,72.71,30,34.52
75af9eaf,8,Jersey,20.53,17.78,66.33,83,23.81
fd08211e,8,Guernsey,19.1,28.89,52.1,275,16.96
92dbd227,4,Jersey,13.18,3.0,67.92,142,22.62
e7c26c99,2,Holstein,20.41,26.56,82.92,68,24.13
7dfec435,6,Holstein,19.12,27.34,50.26,158,26.29
6153d723,8,Guernsey,15.58,20.7,77.43,325,13.44
c8a89531,10,Jersey,16.45,22.65,69.63,216,16.3
682e4192,5,Jersey,15.04,34.74,54.72,361,11.58
0cb9f535,7,Holstein,25.74,36.12,79.72,276,15.96
5c64229b,4,Jersey,24.51,10.35,60.45,76,26.96
7ae60dae,9,Jersey,24.87,17.92,33.75,361,16.61
280da6c2,9,Jersey,16.71,21.06,52.96,283,15.34
975f1454,3,Holstein,25.36,5.85,21.1,355,23.14
07a75ae9,10,Holstein,23.07,44.84,49.46,189,11.72
760566a5,8,Holstein,25.13,5.49,55.25,106,32.06
e5143af1,7,Jersey,17.04,14.19,72.81,17,19.51
821167c8,6,Jersey,16.8,15.64,61.04,192,21.08
32fada4a,9,Holstein,24.8,34.81,49.36,72,22.19
3ce00cd7,5,Holstein,24.43,8.02,75.44,90,37.08
c67b8874,6,Holstein,17.54,28.19,41.92,161,25.13
d505f8c3,7,Holstein,25.54,31.32,92.99,113,23.71
f6e79618,9,Jersey,17.7,33.3,79.9,307,11.3
d67e58e8,8,Holstein,24.63,16.99,55.24,155,33.37
773ac735,9,Holstein,24.95,8.56,61.63,81,33.51
9cdd5fde,2,Holstein,24.48,45.0,52.72,357,10.11
011ce4b8,8,Jersey,19.41,33.36,57.89,294,13.85
053a4adb,2,Guernsey,21.0,12.61,57.48,73,20.13
d6b1c605,8,Jersey,12.54,14.38,40.07,195,16.75
010e6907,3,Holstein,20.2,19.22,54.82,167,30.42
23edaf26,9,Holstein,16.95,10.36,53.55,157,26.29
8cab37b9,6,Jersey,15.4,14.38,56.86,126,23.27
900cd847,2,Holstein,28.54,3.71,79.09,116,36.38
edcc1814,6,Guernsey,14.66,11.9,66.36,325,16.03
61951de5,3,Holstein,21.49,9.02,54.57,306,24.99
90a44d56,10,Holstein,19.79,25.61,55.57,125,20.07
51e7c4b6,2,Holstein,23.68,22.4,73.56,201,28.14
3b3eb8f5,4,Jersey,22.72,19.82,65.96,397,18.32
7da46f37,9,Holstein,21.64,15.67,75.3,354,20.29
1eb359e9,9,Holstein,24.18,40.33,61.28,21,14.72
f89e43d6,7,Holstein,30.22,22.93,42.25,125,32.46
00466f15,3,Holstein,24.88,26.31,50.19,99,30.46
558c992a,2,Guernsey,18.25,18.1,81.6,341,14.78
8e249c1d,2,Holstein,28.99,4.75,63.61,64,36.32
a449e0d5,5,Holstein,24.98,30.86,61.47,149,28.11
8f8d449f,5,Jersey,18.06,13.35,73.1,46,26.66
f7a7d294,6,Holstein,19.66,31.26,59.23,183,20.57
e4087503,4,Holstein,23.33,1.85,89.05,203,33.1
753d360b,4,Guernsey,19.67,31.94,54.95,239,14.02
09c52e2d,6,Holstein,23.59,9.77,48.08,63,37.25
2cf89e82,5,Holstein,27.37,28.85,71.84,22,32.39
ac85d5f5,2,Holstein,27.44,42.4,66.9,277,12.81
844ef924,10,Holstein,26.86,22.12,85.89,222,25.25
914e24fb,10,Holstein,25.26,32.09,38.41,399,15.6
